"BUOY_ID","BUOY_NM","INS_LON","INS_LAT","USE_YN","DATAOPEN_YN","REG_DT","MOD_DT"
AI59,당동1,128.44693,34.987713,Y,Y,2023-06-12 10:22:33.000,2023-06-12 10:22:34.000
AI60,원문1,128.444685,34.93848,Y,Y,2023-06-12 10:23:23.000,2023-06-12 10:23:23.000
AI68,칠천2,128.489012,35.053335,Y,Y,2023-06-12 10:24:10.000,2023-06-12 10:24:12.000
AI69,남해강진1,127.943418,34.910593,Y,Y,2022-06-16 11:25:18.000,2022-06-16 11:25:19.000
AI70,남해강진2,127.961977,34.883605,Y,Y,2022-06-16 14:07:13.000,2022-06-16 14:07:14.000
AI52,고성1,128.3126,34.92865,Y,Y,2018-10-04 00:00:00.000,2018-10-04 00:00:00.000
ZI42,진도1,126.16554,34.505536,Y,Y,2018-10-04 00:00:00.000,2018-10-04 00:00:00.000
AI53,진동1,128.4802,35.087,Y,Y,2018-10-04 00:00:00.000,2018-10-04 00:00:00.000
ZI44,노화,126.539161,34.217253,Y,Y,2018-10-04 00:00:00.000,2018-10-04 00:00:00.000
ZI45,하동,127.902623,34.970591,N,N,2018-10-04 00:00:00.000,2018-10-04 00:00:00.000
AI51,자란1,128.253651,34.92153,Y,Y,2018-10-04 00:00:00.000,2018-10-04 00:00:00.000
AI54,진동2,128.514,35.08444,N,N,2018-10-04 00:00:00.000,2018-10-04 00:00:00.000
AI56,자란3,128.2244,34.90831,Y,Y,2018-10-04 00:00:00.000,2018-10-04 00:00:00.000
AI57,가막1,127.6633,34.73633,Y,Y,2018-10-04 00:00:00.000,2018-10-04 00:00:00.000
AI58,가막2,127.65,34.71667,Y,Y,2018-10-04 00:00:00.000,2018-10-04 00:00:00.000
AI66,칠천1,128.375017,35.003037,Y,Y,2020-06-02 09:54:14.000,2020-06-02 09:54:15.000
AI65,당항1,128.29343,35.031884,Y,Y,2020-06-02 09:55:52.000,2020-06-02 09:55:54.000
AI64,거제1,128.343962,34.492474,Y,Y,2020-06-04 12:23:06.000,2020-06-04 12:23:08.000
AI67,심리1,128.6123917,35.05722833,Y,Y,2021-05-25 17:08:23.000,2021-05-25 17:08:23.000
AI63,북신1,128.38271,34.86551,Y,Y,2020-05-22 09:36:08.000,2020-05-22 09:36:09.000
AI61,가조1,128.538683,34.983692,Y,Y,2023-06-05 11:23:07.000,2023-06-05 11:23:08.000
FP55,강진 신흥,127.969128,34.833378,Y,Y,2023-08-04 09:21:55.000,2023-08-04 09:21:55.000
FP54,강진 선소,127.943618,34.844497,Y,Y,2023-08-04 09:23:04.000,2023-08-04 09:23:04.000
FP52,강진 진목,127.93718,34.86188,Y,Y,2023-08-04 09:23:25.000,2023-08-04 09:23:25.000
FP58,진동 저도,128.539695,35.068358,Y,Y,2023-08-04 09:23:48.000,2023-08-04 09:23:48.000
FP61,득량 송림,127.280635,34.727723,Y,Y,2023-08-04 09:24:11.000,2023-08-04 09:24:11.000
FP59,득량 청암,127.20162,34.703145,Y,Y,2023-08-04 09:24:35.000,2023-08-04 09:24:35.000
FP56,진동 양도,128.4867,35.073333,Y,Y,2023-08-04 09:24:58.000,2023-08-04 09:24:58.000
FP51,강진 율도,127.9773,34.912172,Y,Y,2023-08-04 09:25:27.000,2023-08-04 09:25:27.000
AI62,마산1,128.568565,35.190647,Y,Y,2023-08-04 09:25:51.000,2023-08-04 09:25:51.000
